bucket,metric,sft,grpo_final,delta_grpo_minus_sft
ood_41_80,process,0.5261107668939775,0.560252519365928,0.034141752471950504
ood_41_80,terminal,0.475,0.375,-0.09999999999999998
ood_41_80,exact,0.0,0.0,0.0
train_1_40,process,0.9683257690431646,0.9704574353679423,0.0021316663247776813
train_1_40,terminal,0.875,0.825,-0.050000000000000044
train_1_40,exact,0.775,0.725,-0.050000000000000044
